Age,Job,Marital,Education,Credit_Default,Housing,Loan,Contact,Month,Day_Of_Week,Duration,Campaign,Pdays,Previous,Poutcome,Emp.Var.Rate,Cons.Price.Idx,Cons.Conf.Idx,Euribor3M,Nr.Employed,Y,Age_Bands,Call_Duration_Bands,Call_Frequency_Band,No_of_previous_contacts,Pdays_Bands
56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
57,services,married,high.school,unknown,no,no,telephone,may,mon,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
37,services,married,high.school,no,yes,no,telephone,may,mon,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Young_Adult,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
40,admin.,married,basic.6y,no,no,no,telephone,may,mon,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Young_Adult,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
56,services,married,high.school,no,no,yes,telephone,may,mon,307,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Long Call,Low Call Frequency,No Contact,Long AgoNot contacted
45,services,married,basic.9y,unknown,no,no,telephone,may,mon,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
59,admin.,married,professional.course,no,no,no,telephone,may,mon,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
24,technician,single,professional.course,no,yes,no,telephone,may,mon,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Youth,Long Call,Low Call Frequency,No Contact,Long AgoNot contacted
25,services,single,high.school,no,yes,no,telephone,may,mon,50,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Youth,Short Call,Low Call Frequency,No Contact,Long AgoNot contacted
41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,55,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Short Call,Low Call Frequency,No Contact,Long AgoNot contacted
25,services,single,high.school,no,yes,no,telephone,may,mon,222,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Youth,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Young_Adult,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
57,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,146,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Young_Adult,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
54,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,312,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Young_Adult,Long Call,Low Call Frequency,No Contact,Long AgoNot contacted
46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,440,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Long Call,Low Call Frequency,No Contact,Long AgoNot contacted
50,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,353,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Long Call,Low Call Frequency,No Contact,Long AgoNot contacted
39,management,single,basic.9y,unknown,no,no,telephone,may,mon,195,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Young_Adult,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
30,unemployed,married,high.school,no,no,no,telephone,may,mon,38,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Young_Adult,Short Call,Low Call Frequency,No Contact,Long AgoNot contacted
55,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,262,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
55,retired,single,high.school,no,yes,no,telephone,may,mon,342,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Long Call,Low Call Frequency,No Contact,Long AgoNot contacted
41,technician,single,high.school,no,yes,no,telephone,may,mon,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
37,admin.,married,high.school,no,yes,no,telephone,may,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Young_Adult,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
35,technician,married,university.degree,no,no,yes,telephone,may,mon,99,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Young_Adult,Short Call,Low Call Frequency,No Contact,Long AgoNot contacted
59,technician,married,unknown,no,yes,no,telephone,may,mon,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Short Call,Low Call Frequency,No Contact,Long AgoNot contacted
39,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,233,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Young_Adult,Medium Call,Low Call Frequency,No Contact,Long AgoNot contacted
54,technician,single,university.degree,unknown,no,no,telephone,may,mon,255,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Middle_Age,Medium Call,Moderate Call Frequency,No Contact,Long AgoNot contacted
